gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
RPL26	v1	rg	gw16	0.27296	0	0.011	1.01122	0.991	0.98	0.26993
RPL18A	v1	rg	gw16	0.25886	0	0.006	1.0060500000000001	0.998	0.992	0.2573
ADCY1	v1	rg	gw17	89.48359	0	0.502	101.4	0.507	0.005	0.88248
SSBP3	v1	rg	gw17	20.46117	0	0.613	19.02941	0.647	0.034	1.07524
RUNX1T1	v1	rg	gw17	16.23834	0	0.733	10.51948	0.81	0.077	1.54364
SCN3B	v1	rg	gw17	13.62254	0	0.504	18.37931	0.533	0.029	0.74119
WASF1	v1	rg	gw17	12.61003	0	0.528	14.53846	0.567	0.039	0.86736
INA	v1	rg	gw17	11.77104	0	0.514	14.17949	0.553	0.039	0.83015
NEUROD2	v1	rg	gw17	11.72652	0	0.648	10	0.72	0.072	1.17265
SOBP	v1	rg	gw17	11.72352	0	0.617	12.64151	0.67	0.053	0.92738
MSRA	v1	rg	gw17	11.4958	0	0.496	15.58824	0.53	0.034	0.73747
CHL1	v1	rg	gw17	10.71836	0	0.487	12.32558	0.53	0.043	0.8696
CAMKV	v1	rg	gw17	10.59667	0	0.513	16.08824	0.547	0.034	0.65866
PLXNA2	v1	rg	gw17	10.22568	0	0.524	13.18605	0.567	0.043	0.77549
FAM110B	v1	rg	gw17	10.02177	0	0.486	15.29412	0.52	0.034	0.65527
CTBP1	v1	rg	gw17	9.05983	0	0.495	11.3125	0.543	0.048	0.80087
AUTS2	v1	rg	gw17	8.98247	0	0.552	9.11765	0.62	0.068	0.98517
NFIX	v1	rg	gw17	8.77951	0	0.653	7.73196	0.75	0.097	1.13548
ATP1B1	v1	rg	gw17	8.18721	0	0.581	8.08537	0.663	0.082	1.0126
AKT3	v1	rg	gw17	7.96525	0	0.485	11.10417	0.533	0.048	0.71732
NR2F1	v1	rg	gw17	7.78099	0	0.616	7.35052	0.713	0.097	1.05856
FAM49A	v1	rg	gw17	7.64057	0	0.468	13	0.507	0.039	0.58774
PTPRD	v1	rg	gw17	7.41772	0	0.562	9.2647099999999991	0.63	0.068	0.80064
NTRK3	v1	rg	gw17	6.76142	0	0.485	9.36207	0.543	0.058	0.72221
BCL11A	v1	rg	gw17	6.33388	0	0.682	4.44444	0.88	0.198	1.42512
PGM2L1	v1	rg	gw17	6.24595	0	0.46	9.67925	0.513	0.053	0.64529
PTPRS	v1	rg	gw17	6.10921	0	0.608	4.39665	0.787	0.179	1.38952
CRYM	v1	rg	gw17	5.68402	0	0.601	7.53261	0.693	0.092	0.75459
GNAO1	v1	rg	gw17	5.45175	0	0.516	7.7013	0.593	0.077	0.7079
SEPT3	v1	rg	gw17	5.30099	0	0.47	8.46032	0.533	0.063	0.62657
SEZ6L2	v1	rg	gw17	5.18257	0	0.445	8.67241	0.503	0.058	0.59759
ZBTB18	v1	rg	gw17	5.15483	0	0.66	4.25123	0.863	0.203	1.21255
RAB3A	v1	rg	gw17	5.07317	0	0.467	8.4127	0.53	0.063	0.60304
CDK5R1	v1	rg	gw17	4.92137	0	0.563	5.02143	0.703	0.14	0.98007
MEF2C	v1	rg	gw17	4.91297	0	0.702	3.79681	0.953	0.251	1.29397
TERF2IP	v1	rg	gw17	4.86863	0	0.48	7.23377	0.557	0.077	0.67304
MEX3A	v1	rg	gw17	4.83292	0	0.531	6.00943	0.637	0.106	0.80422
SATB2	v1	rg	gw17	4.80488	0	0.605	5.48148	0.74	0.135	0.87657
XPR1	v1	rg	gw17	4.55743	0	0.45	6.84416	0.527	0.077	0.66589
YWHAG	v1	rg	gw17	4.50963	0	0.613	4.33152	0.797	0.184	1.04112
GNB1	v1	rg	gw17	4.45185	0	0.458	7.36111	0.53	0.072	0.60478
SCD5	v1	rg	gw17	4.39997	0	0.475	7.59722	0.547	0.072	0.57915
PPP3CA	v1	rg	gw17	4.3262	0	0.586	5.84298	0.707	0.121	0.74041
FAT3	v1	rg	gw17	4.23833	0	0.495	7.875	0.567	0.072	0.5382
USP22	v1	rg	gw17	4.13305	0	0.438	6.34146	0.52	0.082	0.65175
CXADR	v1	rg	gw17	4.06162	0	0.513	6.28866	0.61	0.097	0.64586
IDS	v1	rg	gw17	4.03587	0	0.475	7.59722	0.547	0.072	0.53123
FOXP1	v1	rg	gw17	3.9087	0	0.505	6.48913	0.597	0.092	0.60235
EIF4B	v1	rg	gw17	3.87779	0	0.476	6.47126	0.563	0.087	0.59923
MIAT	v1	rg	gw17	3.75508	0	0.46	6.97403	0.537	0.077	0.53844
MAPT	v1	rg	gw17	3.72123	0	0.501	5.72642	0.607	0.106	0.64984
NCAM1	v1	rg	gw17	3.69648	0	0.574	3.97409	0.767	0.193	0.93014
MN1	v1	rg	gw17	3.66144	0	0.443	6.75325	0.52	0.077	0.54218
CHD3	v1	rg	gw17	3.63629	0	0.458	6.58537	0.54	0.082	0.55218
GRIA2	v1	rg	gw17	3.60751	0	0.473	6.43678	0.56	0.087	0.56045
ADRA2A	v1	rg	gw17	3.60549	0	0.466	6.35632	0.553	0.087	0.56723
HMP19	v1	rg	gw17	3.58713	0	0.531	5.21429	0.657	0.126	0.68794
MDM4	v1	rg	gw17	3.56382	0	0.543	4.12069	0.717	0.174	0.86486
SSTR2	v1	rg	gw17	3.48826	0	0.512	8.52941	0.58	0.068	0.40897
BHLHE22	v1	rg	gw17	3.36156	0	0.435	7.39706	0.503	0.068	0.45445
SRGAP1	v1	rg	gw17	3.30112	0	0.477	5.5	0.583	0.106	0.6002
SBK1	v1	rg	gw17	3.08678	0	0.463	5.7732	0.56	0.097	0.53467
ZNF462	v1	rg	gw17	3.04439	0	0.535	4.68966	0.68	0.145	0.64917
SHTN1	v1	rg	gw17	2.95417	0	0.421	6.13415	0.503	0.082	0.48159
CSNK1E	v1	rg	gw17	2.94329	0	0.461	4.97414	0.577	0.116	0.59172
CELF5	v1	rg	gw17	2.85742	0	0.446	5.59794	0.543	0.097	0.51044
NREP	v1	rg	gw17	2.85676	0	0.557	2.5779	0.91	0.353	1.10817
PRKACB	v1	rg	gw17	2.83135	0	0.423	6.49351	0.5	0.077	0.43603
RBFOX2	v1	rg	gw17	2.82944	0	0.506	4.08537	0.67	0.164	0.69258
ELAVL3	v1	rg	gw17	2.80819	0	0.531	4.14201	0.7	0.169	0.67798
EVL	v1	rg	gw17	2.73993	0	0.463	6.32184	0.55	0.087	0.43341
EIF5A	v1	rg	gw17	2.73831	0	0.451	5.90217	0.543	0.092	0.46395
KMT2A	v1	rg	gw17	2.6861	0	0.48	4.42857	0.62	0.14	0.60654
WTAP	v1	rg	gw17	2.64519	0	0.497	4.31333	0.647	0.15	0.61326
DPYSL3	v1	rg	gw17	2.63252	0	0.511	4.02367	0.68	0.169	0.65426
NEUROD6	v1	rg	gw17	2.61447	0	0.572	3.08	0.847	0.275	0.84885
TCF4	v1	rg	gw17	2.61357	0	0.535	2.28916	0.95	0.415	1.14172
CDC42SE1	v1	rg	gw17	2.41004	0	0.455	5.94565	0.547	0.092	0.40534
NSG1	v1	rg	gw17	2.40495	0	0.504	5	0.63	0.126	0.48099
CRMP1	v1	rg	gw17	2.39401	0	0.496	4.02439	0.66	0.164	0.59487
BRD3	v1	rg	gw17	2.34621	0	0.461	4.97414	0.577	0.116	0.47168
CELF2	v1	rg	gw17	2.33595	0	0.504	3.04878	0.75	0.246	0.76619
KDM5B	v1	rg	gw17	2.23011	0	0.42	5.3299	0.517	0.097	0.41841
GAP43	v1	rg	gw17	2.19674	0	0.554	2.73668	0.873	0.319	0.8027
LINC00685	v1	rg	gw17	2.12511	0	0.421	5.57609	0.513	0.092	0.38111
KIDINS220	v1	rg	gw17	2.11143	0	0.462	4.18621	0.607	0.145	0.50438
MLLT3	v1	rg	gw17	2.08689	0	0.457	4.62698	0.583	0.126	0.45103
DCX	v1	rg	gw17	2.0765	0	0.515	2.38441	0.887	0.372	0.87086
MAP4K4	v1	rg	gw17	2.06026	0	0.448	4.08966	0.593	0.145	0.50377
MYT1L	v1	rg	gw17	2.05307	0	0.52	5	0.65	0.13	0.41061
FRMD4B	v1	rg	gw17	1.99444	0	0.419	4.46281	0.54	0.121	0.4469
KIF5C	v1	rg	gw17	1.96873	0	0.462	4.42222	0.597	0.135	0.44519
CERS6	v1	rg	gw17	1.93535	0	0.412	5.07921	0.513	0.101	0.38103
HIST1H4C	v1	rg	gw17	1.9198	0	0.473	2.1	0.903	0.43	0.91419
MT-ND1	v1	rg	gw17	1.87055	0	0.415	1.95402	0.85	0.435	0.95728
CELF1	v1	rg	gw17	1.86148	0	0.477	3.4715	0.67	0.193	0.53622
SPTAN1	v1	rg	gw17	1.85999	0	0.466	3.84146	0.63	0.164	0.48419
MARCKSL1	v1	rg	gw17	1.85842	0	0.459	2.82869	0.71	0.251	0.65699
STMN2	v1	rg	gw17	1.8456	0	0.302	1.43705	0.993	0.691	1.2843
SLA	v1	rg	gw17	1.83402	0	0.444	4.52381	0.57	0.126	0.40542
RHOB	v1	rg	gw17	1.82884	0	0.403	3.87857	0.543	0.14	0.47152
GNAQ	v1	rg	gw17	1.81905	0	0.475	3.5266	0.663	0.188	0.51581
CEP170	v1	rg	gw17	1.79345	0	0.463	3.82317	0.627	0.164	0.4691
BCL7A	v1	rg	gw17	1.74063	0	0.499	3.65426	0.687	0.188	0.47633
CD24	v1	rg	gw17	1.72458	0	0.538	2.63526	0.867	0.329	0.65442
BCYRN1	v1	rg	gw17	1.71824	0	0.428	3.95172	0.573	0.145	0.43481
NPEPPS	v1	rg	gw17	1.71286	0	0.399	4.29752	0.52	0.121	0.39857
SET	v1	rg	gw17	1.68566	0	0.468	2.10118	0.893	0.425	0.80225
SFPQ	v1	rg	gw17	1.67955	0	0.496	3.18502	0.723	0.227	0.52733
CTNNB1	v1	rg	gw17	1.67953	0	0.483	2.66552	0.773	0.29	0.6301
POGZ	v1	rg	gw17	1.64029	0	0.429	4.54545	0.55	0.121	0.36086
NUDT3	v1	rg	gw17	1.60808	0	0.414	3.31285	0.593	0.179	0.48541
CCND2	v1	rg	gw17	1.58582	0	0.487	2.90234	0.743	0.256	0.54639
IRF2BPL	v1	rg	gw17	1.57897	0	0.456	3.78049	0.62	0.164	0.41766
PBX1	v1	rg	gw17	1.56315	0	0.47	2.37026	0.813	0.343	0.65949
SOX11	v1	rg	gw17	1.54414	0	0.347	1.59828	0.927	0.58	0.96613
KHDRBS1	v1	rg	gw17	1.51278	0	0.426	4.83784	0.537	0.111	0.3127
MTPN	v1	rg	gw17	1.51206	0	0.436	3.65854	0.6	0.164	0.4133
CSDE1	v1	rg	gw17	1.49153	0	0.438	3.44693	0.617	0.179	0.43271
TOP2B	v1	rg	gw17	1.47087	0	0.415	4.07407	0.55	0.135	0.36103
TNRC6B	v1	rg	gw17	1.45769	0	0.451	2.69549	0.717	0.266	0.54079
LINC00461	v1	rg	gw17	1.45344	0	0.479	2.57566	0.783	0.304	0.5643
CLK1	v1	rg	gw17	1.427	0	0.402	3.97778	0.537	0.135	0.35874
UQCRFS1	v1	rg	gw17	1.41174	0	0.449	4.71074	0.57	0.121	0.29969
CRIP2	v1	rg	gw17	1.40353	0	0.444	3.62722	0.613	0.169	0.38694
PCBP2	v1	rg	gw17	1.38994	0	0.515	2.52367	0.853	0.338	0.55076
MTDH	v1	rg	gw17	1.37847	0	0.393	4.02308	0.523	0.13	0.34264
SMARCA4	v1	rg	gw17	1.36349	0	0.433	3.88667	0.583	0.15	0.35081
C9orf16	v1	rg	gw17	1.35575	0	0.474	3.80473	0.643	0.169	0.35633
PTMS	v1	rg	gw17	1.35396	0	0.407	4.13077	0.537	0.13	0.32777
SRSF6	v1	rg	gw17	1.31981	0	0.428	4.17037	0.563	0.135	0.31647
LINC00657	v1	rg	gw17	1.30872	0	0.407	4.23016	0.533	0.126	0.30938
EIF3A	v1	rg	gw17	1.29184	0	0.395	3.72414	0.54	0.145	0.34688
GTF2I	v1	rg	gw17	1.25545	0	0.431	2.75203	0.677	0.246	0.45619
GDI1	v1	rg	gw17	1.22598	0	0.428	2.92793	0.65	0.222	0.41872
CCDC112	v1	rg	gw17	1.22453	0	0.413	3.95	0.553	0.14	0.31001
C6orf48	v1	rg	gw17	1.21791	0	0.447	3.20197	0.65	0.203	0.38036
FOXG1	v1	rg	gw17	1.2	0	0.444	2.12121	0.84	0.396	0.56571
YBX1	v1	rg	gw17	1.1802	0	0.469	2.38757	0.807	0.338	0.49431
FBL	v1	rg	gw17	1.14714	0	0.387	3.76429	0.527	0.14	0.30474
CCNI	v1	rg	gw17	1.11659	0	0.396	1.73198	0.937	0.541	0.64469
HNRNPH1	v1	rg	gw17	1.10698	0	0.384	1.8366	0.843	0.459	0.60273
UCHL1	v1	rg	gw17	1.10211	0	0.45	2.19363	0.827	0.377	0.50241
NFIB	v1	rg	gw17	1.10055	0	0.308	1.50575	0.917	0.609	0.7309
LIMCH1	v1	rg	gw17	1.0737	0	0.454	2.36336	0.787	0.333	0.45431
RUFY3	v1	rg	gw17	1.07231	0	0.368	3.72593	0.503	0.135	0.2878
EIF3L	v1	rg	gw17	1.05555	0	0.412	2.05371	0.803	0.391	0.51397
KIF5B	v1	rg	gw17	1.04935	0	0.381	4.02381	0.507	0.126	0.26078
SVBP	v1	rg	gw17	1.04668	0	0.38	3.53333	0.53	0.15	0.29623
LHX2	v1	rg	gw17	1.0362	0	0.38	3.92308	0.51	0.13	0.26413
TRIM2	v1	rg	gw17	1.03343	0	0.376	3.04348	0.56	0.184	0.33956
MT-ND2	v1	rg	gw17	1.03065	0	0.357	1.64209	0.913	0.556	0.62765
NEDD4L	v1	rg	gw17	1.02816	0	0.372	2.87879	0.57	0.198	0.35715
PABPN1	v1	rg	gw17	0.99691	0	0.391	3.45912	0.55	0.159	0.2882
BPTF	v1	rg	gw17	0.96525	0	0.39	3.6	0.54	0.15	0.26813
MLLT11	v1	rg	gw17	0.96201	0	0.447	1.94503	0.92	0.473	0.4946
ZEB2	v1	rg	gw17	0.95431	0	0.457	2.85772	0.703	0.246	0.33394
POU3F3	v1	rg	gw17	0.95286	0	0.372	3.75556	0.507	0.135	0.25372
GABPB1-AS1	v1	rg	gw17	0.95102	0	0.397	3.64667	0.547	0.15	0.26079
APP	v1	rg	gw17	0.93241	0	0.386	3.21839	0.56	0.174	0.28971
YWHAB	v1	rg	gw17	0.92656	0	0.464	2.39339	0.797	0.333	0.38713
ZFAS1	v1	rg	gw17	0.92293	0	0.415	1.8682	0.893	0.478	0.49402
KPNB1	v1	rg	gw17	0.91686	0	0.366	3.23171	0.53	0.164	0.28371
RBM6	v1	rg	gw17	0.91135	0	0.348	3.24516	0.503	0.155	0.28083
TCP1	v1	rg	gw17	0.90676	0	0.371	3.07263	0.55	0.179	0.29511
OCIAD2	v1	rg	gw17	0.90531	0	0.425	3.04327	0.633	0.208	0.29748
KMT2E	v1	rg	gw17	0.89663	0	0.429	3.16667	0.627	0.198	0.28315
NDFIP1	v1	rg	gw17	0.89549	0	0.4	3.07254	0.593	0.193	0.29145
SSBP2	v1	rg	gw17	0.89466	0	0.457	3.25123	0.66	0.203	0.27518
PCDH9	v1	rg	gw17	0.89262	0	0.401	3.24022	0.58	0.179	0.27548
RPL4	v1	rg	gw17	0.88717	0	0.253	1.34469	0.987	0.734	0.65976
TRA2A	v1	rg	gw17	0.88207	0	0.429	2.58303	0.7	0.271	0.34149
EEF1A1	v1	rg	gw17	0.87348	0	0.068	1.07296	1	0.932	0.81408
VAMP2	v1	rg	gw17	0.86854	0	0.357	1.72414	0.85	0.493	0.50376
NTM	v1	rg	gw17	0.8606	0	0.441	2.34043	0.77	0.329	0.36771
RPS10	v1	rg	gw17	0.82089	0	0.367	1.6847	0.903	0.536	0.48726
YTHDC1	v1	rg	gw17	0.81319	0	0.435	2.95946	0.657	0.222	0.27478
CLTA	v1	rg	gw17	0.78455	0	0.426	2.96313	0.643	0.217	0.26477
MT-CYB	v1	rg	gw17	0.78066	0	0.186	1.24668	0.94	0.754	0.62619
YWHAZ	v1	rg	gw17	0.77798	0	0.322	1.56991	0.887	0.565	0.49556
RPSA	v1	rg	gw17	0.77299	0	0.265	1.37589	0.97	0.705	0.56181
TTC3	v1	rg	gw17	0.75651	0	0.415	1.97647	0.84	0.425	0.38276
CDC42	v1	rg	gw17	0.73966	0	0.397	1.90227	0.837	0.44	0.38883
RPL7A	v1	rg	gw17	0.73008	0	0.184	1.23499	0.967	0.783	0.59116
RPL36A	v1	rg	gw17	0.72912	0	0.251	1.34431	0.98	0.729	0.54238
PCBP1	v1	rg	gw17	0.72356	0	0.424	2.28875	0.753	0.329	0.31614
CAMK2N1	v1	rg	gw17	0.7193	0	0.403	2.85714	0.62	0.217	0.25176
MT-CO3	v1	rg	gw17	0.71095	0	0.055	1.05839	0.997	0.942	0.67173
BEX2	v1	rg	gw17	0.70629	0	0.422	1.97011	0.857	0.435	0.3585
FNBP1L	v1	rg	gw17	0.69987	0	0.391	2.76126	0.613	0.222	0.25346
WSB1	v1	rg	gw17	0.69841	0	0.429	2.41118	0.733	0.304	0.28965
TPT1	v1	rg	gw17	0.69169	0	0.341	1.61331	0.897	0.556	0.42874
RPS21	v1	rg	gw17	0.67729	0	0.179	1.21803	1	0.821	0.55606
EIF3H	v1	rg	gw17	0.67573	0	0.425	2.49123	0.71	0.285	0.27124
LMO4	v1	rg	gw17	0.65868	0	0.438	2.20994	0.8	0.362	0.29805
RPL10A	v1	rg	gw17	0.63011	0	0.121	1.13766	1	0.879	0.55387
GNAS	v1	rg	gw17	0.62987	0	0.406	2.49815	0.677	0.271	0.25213
FXYD6	v1	rg	gw17	0.62953	0	0.385	1.88506	0.82	0.435	0.33396
RPS11	v1	rg	gw17	0.62768	0	0.162	1.19495	0.993	0.831	0.52528
NFIA	v1	rg	gw17	0.62539	0	0.394	1.79919	0.887	0.493	0.34759
ENC1	v1	rg	gw17	0.62221	0	0.375	2.36364	0.65	0.275	0.26324
HN1	v1	rg	gw17	0.61708	0	0.372	1.70056	0.903	0.531	0.36287
FKBP1A	v1	rg	gw17	0.61108	0	0.383	2.32069	0.673	0.29	0.26332
GNB2L1	v1	rg	gw17	0.59509	0	0.148	1.17515	0.993	0.845	0.5064
BASP1	v1	rg	gw17	0.58922	0	0.4	1.82816	0.883	0.483	0.3223
EEF1B2	v1	rg	gw17	0.57816	0	0.38	1.80338	0.853	0.473	0.3206
DPYSL2	v1	rg	gw17	0.5641	0	0.373	1.70778	0.9	0.527	0.33031
RPS18	v1	rg	gw17	0.55276	0	0	1	1	1	0.55276
RPL19	v1	rg	gw17	0.55065	0	0.053	1.05597	1	0.947	0.52147
MT-CO1	v1	rg	gw17	0.54334	0	0.043	1.04493	1	0.957	0.51998
JUND	v1	rg	gw17	0.54241	0	0.351	2.10031	0.67	0.319	0.25825
RPS16	v1	rg	gw17	0.53656	0	0.132	1.15439	0.987	0.855	0.4648
RPS12	v1	rg	gw17	0.52893	0	0.063	1.06724	1	0.937	0.49561
NUCKS1	v1	rg	gw17	0.52009	0	0.365	1.73293	0.863	0.498	0.30012
RPL13	v1	rg	gw17	0.52004	0	0.039	1.04058	1	0.961	0.49975
RPL18	v1	rg	gw17	0.51992	0	0.085	1.09361	0.993	0.908	0.47541
RPL9	v1	rg	gw17	0.50985	0	0.132	1.15439	0.987	0.855	0.44167
RPL14	v1	rg	gw17	0.50193	0	0.173	1.21437	0.98	0.807	0.41333
RPL13A	v1	rg	gw17	0.4934	0	0.01	1.0101	1	0.99	0.48847
RPL37A	v1	rg	gw17	0.49092	0	0.005	1.00503	1	0.995	0.48847
UBA52	v1	rg	gw17	0.48696	0	0.157	1.1924	0.973	0.816	0.40839
RPL24	v1	rg	gw17	0.48106	0	0.157	1.1878	0.993	0.836	0.40501
RPL32	v1	rg	gw17	0.47707	0	0	1	1	1	0.47707
RPL28	v1	rg	gw17	0.47176	0	0.089	1.09802	0.997	0.908	0.42965
UQCRH	v1	rg	gw17	0.46346	0	0.313	1.51821	0.917	0.604	0.30527
RPS5	v1	rg	gw17	0.46083	0	0.065	1.06974	0.997	0.932	0.43079
RPS4X	v1	rg	gw17	0.45812	0	0.04	1.0418	0.997	0.957	0.43974
HNRNPA1	v1	rg	gw17	0.45629	0	0.159	1.19134	0.99	0.831	0.38301
RPS3	v1	rg	gw17	0.4535	0	0.082	1.08932	1	0.918	0.41631
BTF3	v1	rg	gw17	0.44483	0	0.295	1.47735	0.913	0.618	0.3011
RPS15A	v1	rg	gw17	0.44196	0	0.029	1.02987	1	0.971	0.42914
GPM6A	v1	rg	gw17	0.43748	0	0.256	1.37048	0.947	0.691	0.31922
TMSB10	v1	rg	gw17	0.43744	0	0.005	1.00503	1	0.995	0.43525
RPL26	v1	rg	gw17	0.43237	0	0.014	1.0142	1	0.986	0.42632
FTH1	v1	rg	gw17	0.43175	0	0.068	1.07296	1	0.932	0.40239
RPS8	v1	rg	gw17	0.42942	0	0.01	1.0101	1	0.99	0.42512
RPLP2	v1	rg	gw17	0.42844	0	0.04	1.0418	0.997	0.957	0.41125
RPS2	v1	rg	gw17	0.4274	1e-5	0.238	1.35952	0.9	0.662	0.31438
SLC25A6	v1	rg	gw17	0.42582	0	0.256	1.39567	0.903	0.647	0.3051
EEF2	v1	rg	gw17	0.41461	0	0.293	1.4851	0.897	0.604	0.27918
MT-ND4	v1	rg	gw17	0.4014	0.00109	0.074	1.08105	0.987	0.913	0.3713
RPL10	v1	rg	gw17	0.39766	0	0	1	1	1	0.39766
CALM1	v1	rg	gw17	0.39731	0	0.267	1.38143	0.967	0.7	0.28761
RPL5	v1	rg	gw17	0.38786	0	0.143	1.16824	0.993	0.85	0.33201
RPL38	v1	rg	gw17	0.38087	0	0.053	1.05597	1	0.947	0.36068
RPL11	v1	rg	gw17	0.37427	0	0.01	1.0101	1	0.99	0.37053
RPL27	v1	rg	gw17	0.36331	0	0.181	1.22569	0.983	0.802	0.29642
SOX4	v1	rg	gw17	0.36256	0	0.106	1.11991	0.99	0.884	0.32374000000000003
RPL18A	v1	rg	gw17	0.35521	0	0.019	1.01937	1	0.981	0.34846
NACA	v1	rg	gw17	0.34127	0	0.19	1.24142	0.977	0.787	0.2749
RPL29	v1	rg	gw17	0.3412	0	0.079	1.08606	0.997	0.918	0.31417
RPS28	v1	rg	gw17	0.33067	1e-5	0.01	1.0101	1	0.99	0.32737
RPS9	v1	rg	gw17	0.31058	0	0.13	1.15116	0.99	0.86	0.2698
RPL37	v1	rg	gw17	0.30534	0	0.075	1.0817	0.993	0.918	0.28228
RPL15	v1	rg	gw17	0.3035	0	0.024	1.02459	1	0.976	0.29622
TUBB	v1	rg	gw17	0.30342	1.3e-4	0.031	1.03209	0.997	0.966	0.29398
RPL27A	v1	rg	gw17	0.29941	0.00378	0.036	1.03746	0.997	0.961	0.2886
RPS13	v1	rg	gw17	0.28962	0	0.048	1.05042	1	0.952	0.27572
STMN1	v1	rg	gw17	0.2796	0	0.034	1.0352	1	0.966	0.27009
FAU	v1	rg	gw17	0.27142	3.3e-4	0.05	1.0528	0.997	0.947	0.25781
RPS27	v1	rg	gw17	0.27086	6e-5	0	1	1	1	0.27086
RPS14	v1	rg	gw17	0.25148	0.00388	0	1	1	1	0.25148
MIF	v1	rg	gw18	4.95607	0	0.566	5.67769	0.687	0.121	0.8729
MDFI	v1	rg	gw18	4.85683	0	0.463	5.97849	0.556	0.093	0.81238
CST3	v1	rg	gw18	3.68489	0	0.478	2.54693	0.787	0.309	1.4468
DNPH1	v1	rg	gw18	3.29862	0	0.435	4.81579	0.549	0.114	0.68496
LSM4	v1	rg	gw18	3.18198	0	0.467	4.31206	0.608	0.141	0.73793
PPDPF	v1	rg	gw18	2.98055	0	0.598	3.49167	0.838	0.24	0.85362
SNRNP70	v1	rg	gw18	2.73615	0	0.425	3.65625	0.585	0.16	0.74835
GCSH	v1	rg	gw18	2.61612	0	0.545	3.27083	0.785	0.24	0.79983
SLC25A3	v1	rg	gw18	2.56574	0	0.559	2.51491	0.928	0.369	1.02021
TBCB	v1	rg	gw18	2.53021	0	0.538	3.13492	0.79	0.252	0.80711
RPS2	v1	rg	gw18	2.49562	0	0.488	1.95312	1	0.512	1.27776
ZNF428	v1	rg	gw18	2.48309	0	0.586	3.18657	0.854	0.268	0.77924
AURKAIP1	v1	rg	gw18	2.46834	0	0.434	3.78205	0.59	0.156	0.65264
PGRMC1	v1	rg	gw18	2.43233	0	0.428	3.56287	0.595	0.167	0.68269
NDUFAB1	v1	rg	gw18	2.41602	0	0.459	3.52198	0.641	0.182	0.68598
NKAIN3	v1	rg	gw18	2.38308	0	0.478	2.96708	0.721	0.243	0.80317
RPL13	v1	rg	gw18	2.35863	0	0.503	2.01207	1	0.497	1.17224
FEZ2	v1	rg	gw18	2.33347	0	0.419	3.61875	0.579	0.16	0.64483
MRPS26	v1	rg	gw18	2.32592	0	0.376	3.91473	0.505	0.129	0.59414
PDCD6	v1	rg	gw18	2.32079	0	0.45	3.39362	0.638	0.188	0.68387
CKB	v1	rg	gw18	2.29858	0	0.505	2.02642	0.997	0.492	1.1343
PYURF	v1	rg	gw18	2.28494	0	0.477	3.27143	0.687	0.21	0.69845
TUBB2A	v1	rg	gw18	2.25185	0	0.443	2.1359	0.833	0.39	1.05429
SCAND1	v1	rg	gw18	2.24474	0	0.464	3.82927	0.628	0.164	0.5862
PGLS	v1	rg	gw18	2.21898	0	0.441	3.64072	0.608	0.167	0.60949
IDH2	v1	rg	gw18	2.21657	0	0.449	3.16908	0.656	0.207	0.69944
GADD45GIP1	v1	rg	gw18	2.18048	0	0.497	2.99598	0.746	0.249	0.7278
MRPS34	v1	rg	gw18	2.17145	0	0.396	3.475	0.556	0.16	0.62488
C19orf60	v1	rg	gw18	2.12694	0	0.381	3.78102	0.518	0.137	0.56253
CLTA	v1	rg	gw18	2.12515	0	0.521	3.36818	0.741	0.22	0.63095
UQCRFS1	v1	rg	gw18	2.12416	0	0.423	3.20312	0.615	0.192	0.66315
FTH1	v1	rg	gw18	2.10923	0	0.534	2.14592	1	0.466	0.9829
LY6H	v1	rg	gw18	2.07963	0	0.45	3.45902	0.633	0.183	0.60122
MDK	v1	rg	gw18	2.0434	0	0.498	2.1773	0.921	0.423	0.9385
PFN1	v1	rg	gw18	2.03606	0	0.441	2.85294	0.679	0.238	0.71367
TTYH1	v1	rg	gw18	1.96661	0	0.501	2.13864	0.941	0.44	0.91956
RPS19BP1	v1	rg	gw18	1.95407	0	0.371	3.47333	0.521	0.15	0.56259
NFIX	v1	rg	gw18	1.94419	0	0.392	3.09626	0.579	0.187	0.62792
C19orf43	v1	rg	gw18	1.94285	0	0.522	3.04706	0.777	0.255	0.63762
COX5A	v1	rg	gw18	1.90073	0	0.441	2.82988	0.682	0.241	0.67167
JTB	v1	rg	gw18	1.89781	0	0.394	3.27746	0.567	0.173	0.57905
RANBP1	v1	rg	gw18	1.8863	0	0.535	2.94545	0.81	0.275	0.64041
LSM7	v1	rg	gw18	1.88178	0	0.494	2.9	0.754	0.26	0.64889
KIF5B	v1	rg	gw18	1.8485	0	0.459	2.3343	0.803	0.344	0.79189
EIF3F	v1	rg	gw18	1.82193	0	0.474	2.32033	0.833	0.359	0.7852
UBE2D2	v1	rg	gw18	1.81676	0	0.438	2.70428	0.695	0.257	0.67181
PHF14	v1	rg	gw18	1.79524	0	0.454	2.86831	0.697	0.243	0.62589
HMGN1	v1	rg	gw18	1.78441	0	0.489	2.02301	0.967	0.478	0.88206
PAK2	v1	rg	gw18	1.75387	0	0.44	2.64179	0.708	0.268	0.66389
MZT2B	v1	rg	gw18	1.75348	0	0.413	3.24457	0.597	0.184	0.54043
FAM3C	v1	rg	gw18	1.74324	0	0.363	3.07429	0.538	0.175	0.56704
