Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
hexbin	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.28.1	NA	R (>= 2.0.1), methods	lattice, grid, graphics, grDevices, stats, utils	NA	marray, affy, Biobase, limma, knitr	NA	GPL-2	NA	NA	NA	NA	yes	4.0.0
highr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8	NA	R (>= 3.2.3)	NA	NA	knitr, testit	NA	GPL	NA	NA	NA	NA	no	4.0.0
Hmisc	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.4-0	NA	lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)	"methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc"	NA	"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang"	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.0
hms	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.3	NA	NA	methods, pkgconfig, rlang, vctrs (>= 0.2.1)	NA	crayon, lubridate, pillar (>= 1.1.0), testthat	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
hrbrthemes	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8.0	NA	R (>= 3.4.0)	"ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools"	NA	"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
htmlTable	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.13.3	NA	NA	"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)"	NA	"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)"	NA	GPL (>= 3)	NA	NA	NA	NA	no	4.0.0
htmltools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.1.1	NA	R (>= 2.14.1)	utils, digest, grDevices, base64enc, rlang	NA	markdown, testthat, withr, Cairo, ragg, shiny	knitr	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.4
htmlwidgets	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5.3	NA	NA	grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml	NA	knitr (>= 1.8), rmarkdown, testthat	shiny (>= 1.1)	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
httpuv	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5.5	NA	R (>= 2.15.1)	Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)	Rcpp, BH, later	testthat, callr, curl, websocket	NA	GPL (>= 2) | file LICENSE	NA	NA	NA	NA	yes	4.0.4
httr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.2	NA	R (>= 3.2)	curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6	NA	"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
hunspell	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.0	NA	R (>= 3.0.2)	Rcpp, digest	Rcpp (>= 0.12.12)	"spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown"	NA	GPL-2 | LGPL-2.1 | MPL-1.1	NA	NA	NA	NA	yes	4.0.2
ica	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0-2	NA	NA	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.0
igraph	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.6	NA	methods	"graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils"	NA	"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr"	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
ini	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.1	NA	NA	NA	NA	testthat	NA	GPL-3	NA	NA	NA	NA	no	4.0.1
insight	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9.0	NA	R (>= 3.2)	methods, stats, utils	NA	"AER, afex, aod, BayesFactor, bayestestR, betareg, BGGM,
biglm, blavaan, blme, brms, censReg, cgam, coxme, cplm, crch,
estimatr, feisr, fixest, gam, gamm4, gamlss, gbm, gee, geepack,
GLMMadaptive, glmmTMB, gmnl, httr, lavaan, lfe, logistf, MASS,
Matrix, MCMCglmm, mlogit, multgee, lme4, mgcv, nnet, nlme,
ordinal, panelr, plm, pscl, quantreg, rms, robustbase,
robustlmm, rstanarm, rstudioapi, speedglm, splines, statmod,
survey, survival, tripack, truncreg, testthat, VGAM, knitr,
rmarkdown, spelling"	NA	GPL-3	NA	NA	NA	NA	no	4.0.2
inspectdf	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.9	NA	R (>= 3.1.0)	"dplyr, ggplot2, magrittr, progress, Rcpp, tibble, tidyr,
ggfittext"	Rcpp	testthat	NA	GPL-2	NA	NA	NA	NA	yes	4.0.2
ipred	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9-9	NA	R (>= 2.10)	rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim	NA	mvtnorm, mlbench, TH.data	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
IRanges	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.24.0	NA	"R (>= 3.1.0), methods, utils, stats, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.27.12)"	stats4	S4Vectors	"XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle"	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
IRdisplay	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.7.0	NA	R (>= 3.0.1)	methods, repr	NA	testthat, withr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
irlba	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.3.3	NA	Matrix	stats, methods	Matrix	NA	NA	GPL-3	NA	NA	NA	NA	yes	4.0.0
isoband	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.4	NA	NA	grid, utils	NA	"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
iterators	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.12	NA	R (>= 2.5.0), utils	NA	NA	RUnit, foreach	NA	Apache License (== 2.0)	NA	NA	NA	NA	no	4.0.2
janeaustenr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.5	NA	R (>= 3.1.2)	NA	NA	dplyr, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
janitor	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.1	NA	R (>= 3.1.2)	"dplyr (>= 0.7.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)"	NA	knitr, rmarkdown, sf, testthat, tibble, tidygraph	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
jpeg	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1-8.1	NA	R (>= 2.9.0)	NA	NA	NA	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.0
jquerylib	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.3	NA	NA	htmltools	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
js2graphic	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.0	NA	R (>= 3.4.0)	htmlwidgets (>= 1.0), stringr (>= 1.2.0)	NA	"testthat (>= 1.0.2), devtools (>= 1.12.0), knitr (>= 1.18),
d3heatmap (>= 0.6.1.1), networkD3 (>= 0.4), plotly (>= 4.7.1),
rsvg (>= 1.1)"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
jsonlite	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7.2	NA	methods	NA	NA	httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sf	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
KEGGgraph	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.50.0	NA	R (>= 2.10.0)	methods, XML (>= 2.3-0), graph, utils, RCurl	NA	"Rgraphviz, RBGL, testthat, RColorBrewer, KEGG.db,
org.Hs.eg.db, hgu133plus2.db, SPIA"	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
KEGGREST	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.30.0	NA	NA	methods, httr, png, Biostrings	NA	RUnit, BiocGenerics, knitr	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
knitr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.30	NA	R (>= 3.2.3)	"evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun (>= 0.15), tools"	NA	"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, sass, ragg, styler (>= 1.2.0)"	NA	GPL	NA	NA	NA	NA	no	4.0.3
labdsv	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0-1	NA	R (>= 2.10), mgcv	cluster, Rtsne, MASS	NA	optpart	vegan	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
labeling	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.2	NA	NA	stats, graphics	NA	NA	NA	MIT + file LICENSE | Unlimited	NA	NA	NA	NA	no	4.0.3
lambda.r	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.4	NA	R (>= 3.0.0)	formatR	NA	testit	NA	LGPL-3	NA	NA	NA	NA	no	4.0.3
languageserver	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.9	NA	R (>= 3.4.0)	"callr (>= 3.0.0), collections (>= 0.3.0), desc (>= 1.2.0), fs
(>= 1.3.1), jsonlite (>= 1.6), lintr (>= 2.0.0), parallel, R6
(>= 2.4.1), repr (>= 1.1.0), roxygen2 (>= 7.0.0), stringi (>=
1.1.7), styler (>= 1.2.0), tools, utils, xml2 (>= 1.2.2),
xmlparsedata (>= 1.0.3)"	NA	"covr (>= 3.4.0), magrittr (>= 1.5), mockery (>= 0.4.2),
processx (>= 3.4.1), purrr (>= 0.3.3), testthat (>= 2.1.0),
withr (>= 2.3.0), rmarkdown (>= 2.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
later	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0.1	NA	NA	Rcpp (>= 0.12.9), rlang	Rcpp, BH	knitr, rmarkdown, testthat	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
latticeExtra	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.6-29	NA	R (>= 3.6.0), lattice	grid, stats, utils, grDevices, png, jpeg, RColorBrewer	NA	maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.0
lava	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.6.8	NA	R (>= 3.5)	"grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils"	NA	"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, knitr, bookdown,
rmarkdown, igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2,
lme4, magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg,
rgl, R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo"	NA	GPL-3	NA	NA	NA	NA	no	4.0.2
lazyeval	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.2	NA	R (>= 3.1.0)	NA	NA	knitr, rmarkdown (>= 0.2.65), testthat, covr	NA	GPL-3	NA	NA	NA	NA	yes	4.0.0
leiden	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.7	NA	NA	methods, reticulate, Matrix, igraph	NA	"bipartite, covr, data.table, devtools, graphsim, knitr,
multiplex, multinet, markdown, network, RColorBrewer,
rmarkdown, spelling, testthat, tibble"	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	no	4.0.4
lifecycle	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.0	NA	R (>= 3.3)	glue, rlang (>= 0.4.10)	NA	covr, crayon, knitr, rmarkdown, testthat (>= 3.0.1), tibble	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
linprog	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9-2	NA	R (>= 2.4.0), lpSolve	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	NA	4.0.3
lintr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.1	NA	R (>= 3.2)	"rex, crayon, codetools, cyclocomp, testthat (>= 2.2.1),
digest, rstudioapi (>= 0.2), httr (>= 1.2.1), jsonlite, knitr,
stats, utils, xml2 (>= 1.0.0), xmlparsedata (>= 1.0.3)"	NA	rmarkdown, mockery	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
listenv	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8.0	NA	R (>= 3.1.2)	NA	NA	R.utils, R.rsp, markdown	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.0
listviewer	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.0.0	NA	NA	htmltools, htmlwidgets, shiny	NA	jsonlite, miniUI, rstudioapi	reactR	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
lmtest	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9-38	NA	R (>= 3.0.0), stats, zoo	graphics	NA	car, strucchange, sandwich, dynlm, stats4, survival, AER	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.3
locfit	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5-9.4	NA	R (>= 3.5.0)	lattice	NA	interp, gam	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
lpSolve	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	5.6.15	NA	NA	NA	NA	NA	NA	LGPL-2	NA	NA	NA	NA	yes	4.0.3
lsr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5	NA	NA	NA	NA	NA	NA	GPL-3	NA	NA	NA	NA	no	4.0.3
lubridate	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7.8	NA	methods, R (>= 3.2)	generics, Rcpp (>= 0.12.13)	Rcpp	covr, knitr, testthat	chron, timeDate, tis, zoo	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.0
macrophage	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.0	NA	R (>= 3.5.0)	NA	NA	knitr	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
magic	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5-9	NA	R (>= 2.10), abind	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	no	4.0.3
magrittr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.1	NA	NA	NA	NA	covr, knitr, rlang, rmarkdown, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
manipulateWidget	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8.1	NA	NA	"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools"	NA	dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr	NA	GPL (>= 2) | file LICENSE	NA	NA	NA	NA	no	4.0.2
maps	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.3.0	NA	R (>= 3.0.0)	graphics, utils	NA	"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth"	NA	GPL-2	NA	NA	NA	NA	yes	4.0.3
maptools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0-2	NA	R (>= 2.10), sp (>= 1.0-11)	"foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices"	NA	"rgeos (>= 0.1-8), spatstat (>= 1.60), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils, plotrix"	gpclib	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
markdown	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1	NA	R (>= 2.11.1)	utils, xfun, mime (>= 0.3)	NA	knitr, RCurl	NA	GPL-2	NA	NA	NA	NA	yes	4.0.0
MAST	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.16.0	NA	SingleCellExperiment (>= 1.2.0), R(>= 3.5)	"Biobase, BiocGenerics, S4Vectors, data.table, ggplot2, plyr,
stringr, abind, methods, parallel, reshape2, stats, stats4,
graphics, utils, SummarizedExperiment(>= 1.5.3), progress"	NA	"knitr, rmarkdown, testthat, lme4(>= 1.0), blme, roxygen2(>
6.0.0), numDeriv, car, gdata, lattice, GGally, GSEABase, NMF,
TxDb.Hsapiens.UCSC.hg19.knownGene, rsvd, limma, RColorBrewer,
BiocStyle, scater, DelayedArray, Matrix, HDF5Array, zinbwave,
dplyr"	NA	GPL(>= 2)	NA	NA	NA	NA	no	4.0.3
MatrixModels	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4-1	NA	R (>= 3.0.1)	stats, methods, Matrix (>= 1.1-5)	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.2
matrixStats	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.58.0	NA	R (>= 2.12.0)	NA	NA	base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.4
memoise	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	NA	digest (>= 0.6.3)	NA	testthat, aws.s3, httr, covr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
mime	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.10	NA	NA	tools	NA	NA	NA	GPL	NA	NA	NA	NA	yes	4.0.4
miniUI	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.1.1	NA	NA	shiny (>= 0.13), htmltools (>= 0.3), utils	NA	NA	NA	GPL-3	NA	NA	NA	NA	no	4.0.2
mnormt	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.2	NA	R (>= 2.2.0)	tmvnsim (>= 1.0-2)	NA	NA	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.3
ModelMetrics	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.2.2	NA	R (>= 3.2.2)	Rcpp, data.table	Rcpp	testthat	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
modelr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.8	NA	R (>= 3.2)	"broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs"	NA	compiler, covr, ggplot2, testthat	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
munsell	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.0	NA	NA	colorspace, methods	NA	ggplot2, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
network	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.16.0	NA	R (>= 2.10), utils	tibble, magrittr	NA	sna, statnet.common, testthat, covr	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.0
networkD3	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4	NA	R (>= 3.0.0)	htmlwidgets (>= 0.3.2), igraph, magrittr	NA	htmltools (>= 0.2.6), jsonlite,	knitr, shiny	GPL (>= 3)	NA	NA	NA	NA	no	4.0.2
nloptr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.2.2	NA	NA	NA	NA	testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)	NA	LGPL-3	NA	NA	NA	NA	yes	4.0.2
NLP	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2-1	NA	R (>= 3.2.0)	utils	NA	NA	udpipe, spacyr, cleanNLP	GPL-3	NA	NA	NA	NA	no	4.0.3
nomnoml	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.0	NA	R (>= 3.1.2)	htmlwidgets, png, webshot	NA	knitr, rmarkdown, testthat, shinytest	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
numDeriv	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2016.8-1.1	NA	R (>= 2.11.1)	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
openssl	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.3	NA	NA	askpass	NA	"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
openxlsx	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.1.5	NA	R (>= 3.3.0)	grDevices, methods, Rcpp, stats, utils, zip, stringi	Rcpp	knitr, testthat, roxygen2	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.2
org.Hs.eg.db	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.11.4	NA	R (>= 2.7.0), methods, AnnotationDbi (>= 1.49.2)	methods, AnnotationDbi	NA	DBI, annotate, RUnit	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
packrat	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.0	NA	R (>= 3.0.0)	tools, utils	NA	testthat (>= 0.7), devtools, httr, knitr, rmarkdown	NA	GPL-2	NA	NA	NA	NA	no	4.0.1
pacman	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.1	NA	R (>= 3.5.0)	remotes, methods, stats, utils	NA	BiocManager, knitr, lattice, testthat (>= 0.9.0), XML	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
pander	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.6.4	NA	R (>= 2.15.0)	"grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp"	Rcpp	"grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table"	NA	AGPL-3 | file LICENSE	NA	NA	NA	NA	yes	4.0.2
parallelly	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.24.0	NA	NA	parallel, tools, utils	NA	NA	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.4
patchwork	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	NA	"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics"	NA	"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
pathview	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.30.0	NA	R (>= 2.10)	"KEGGgraph, XML, Rgraphviz, graph, png, AnnotationDbi,
org.Hs.eg.db, KEGGREST, methods, utils"	NA	gage, org.Mm.eg.db, RUnit, BiocGenerics	NA	GPL (>=3.0)	NA	NA	NA	NA	no	4.0.3
pbapply	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4-3	NA	R (>= 3.2.0)	parallel	NA	NA	NA	GPL-2	NA	NA	NA	NA	no	4.0.3
pbmc3k.SeuratData	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.1.4	NA	NA	NA	NA	Seurat (>= 3.1.4)	NA	CC BY 4.0	NA	NA	NA	NA	no	4.0.4
permute	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9-5	NA	R (>= 2.14.0)	stats	NA	vegan (>= 2.0-0), testthat (>= 0.5), parallel	NA	GPL-2	NA	NA	NA	NA	no	4.0.3
phangorn	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.5.5	NA	R (>= 3.2.0), ape (>= 5.0)	"quadprog, igraph (>= 1.0), Matrix, parallel, methods, utils,
stats, graphics, grDevices, fastmatch, magrittr, Rcpp (>=
0.12.0)"	Rcpp	"testthat, vdiffr, seqinr, xtable, rgl, knitr, rmarkdown,
Biostrings"	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
pheatmap	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.12	NA	R (>= 2.0)	grid, RColorBrewer, scales, gtable, stats, grDevices, graphics	NA	NA	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
phytools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.7-70	NA	R (>= 3.5.0), ape (>= 4.0), maps	"clusterGeneration, coda, combinat, expm, graphics, grDevices,
gtools, MASS, methods, mnormt, nlme, numDeriv, phangorn (>=
2.3.1), plotrix, scatterplot3d, stats, utils"	NA	animation, geiger, RColorBrewer, rgl	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
pillar	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5.1	NA	NA	"cli, crayon (>= 1.3.4), ellipsis, fansi, lifecycle, rlang (>=
0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.2.0)"	NA	"bit64, debugme, DiagrammeR, knitr, lubridate, nycflights13,
palmerpenguins, rmarkdown, survival, testthat (>= 3.0.2),
tibble, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
pixmap	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4-11	NA	methods	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	NA	4.0.3
pkgbuild	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	R (>= 3.1)	"callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)"	NA	Rcpp, cpp11, testthat, covr	NA	GPL-3	NA	NA	NA	NA	no	4.0.3
pkgconfig	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.3	NA	NA	utils	NA	covr, testthat, disposables (>= 1.0.3)	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
